"","ID","Parameter_ID","Name","Description","Number","icon"
"969","144L-11","144L","SVO but SO[Neg-V]","SO[Neg-V] but SVO in affirmative clauses",11,"f0000dd"
"970","144L-12","144L","SVO/SOV but SNegOV","SNegOV but SVO/SOV in affirmative clauses",12,"s990099"
"971","144L-13","144L","SVO/SOV but SOVNeg","SOVNeg but SVO/SOV in affirmative clauses",13,"s66ff33"
"972","144L-14","144L","Other NegV","Other SOV with preverbal negative word",14,"c9999ff"
"973","144L-15","144L","More than one construction","More than one negative construction",15,"ccccccc"
"974","144L-16","144L","ObligDoubleNeg","SOV with obligatory double negation",16,"cff6600"
"975","144L-17","144L","OptDoubleNeg","SOV with optional double negation",17,"cffff00"
"976","144L-18","144L","SV&OV&NegV","SV & OV & NegV",18,"cff66ff"
"977","144L-19","144L","SV&OV&VNeg","SV & OV & VNeg",19,"c009900"
"978","144L-20","144L","SV&OV&[Neg-V]","SV & OV & negative prefix",20,"t99ffff"
"979","144L-21","144L","SV&OV&[V-Neg]","SV & OV & negative suffix",21,"f009900"
"980","144L-22","144L","SV&OV&ImmedPreverbal","SV & OV with immediately preverbal negative word",22,"c99ffff"
"981","144L-23","144L","SV&OV&InitialNeg","SV & OV with clause-initial negative word",23,"cffcc00"
"982","144M-1","144M","SONegV/SOVNeg","SONegV/SOVNeg",1,"c0000dd"
"983","144M-2","144M","SNegOV/SONegV","SNegOV/SONegV",2,"c990099"
"984","144M-3","144M","NegSOV/SNegOV/SONegV","NegSOV/SNegOV/SONegV",3,"cdd0000"
"985","144M-4","144M","NegSOV/2ndPos","NegSOV or SOV with second position negative word",4,"tdd0000"
"986","144M-5","144M","SOVNeg/SO[V-Neg]","SOVNeg/SO[V-Neg]",5,"c66ff33"
"987","144M-6","144M","SO[Neg-V]/SO[V-Neg]","SO[Neg-V]/SO[V-Neg]",6,"c009900"
"988","144M-7","144M","SO[Neg-V]/SOVwithNegInfix","SO[Neg-V] or SOV with negative infix",7,"c000000"
"989","144M-8","144M","SNegOV/SONegV/SO[V-Neg]","SNegOV/SONegV/SO[V-Neg]",8,"t990099"
"990","144M-9","144M","SONegV/SVONeg","SONegV/SVONeg",9,"t0000dd"
"991","144M-10","144M","SOVNeg/SVNegO","SOVNeg/SVNegO",10,"t66ff33"
"992","144M-11","144M","SNegOV/SOVNeg/SVONeg","SNegOV/SOVNeg/SVONeg",11,"f990099"
"993","144M-12","144M","NegSOV/SNegOV/NegSVO/SVNegO","NegSOV/SNegOV/NegSVO/SVNegO",12,"fdd0000"
"994","144M-13","144M","SONegV/SOVNeg/SNegVO/SVONeg","SONegV/SOVNeg/SNegVO/SVONeg",13,"f0000dd"
"995","144M-14","144M","SO[Neg-V]/S[Neg-V]O","SO[Neg-V]/S[Neg-V]O",14,"d0000dd"
"996","144M-15","144M","SO[V-Neg]/S[V-Neg]O/","SO[V-Neg]/S[V-Neg]O/",15,"t009900"
"997","144M-16","144M","SONegV/SO[Neg-V]/SNegVO/S[Neg-V]O","SONegV/SO[Neg-V]/SNegVO/S[Neg-V]O",16,"s0000dd"
"998","144M-17","144M","NegSOV/NegOVS","NegSOV/NegOVS",17,"ddd0000"
"999","144M-18","144M","SOVNeg/OVNegS","SOVNeg/OVNegS",18,"f66ff33"
"1000","144M-19","144M","SO[V-Neg]/O[V-Neg]S","SO[V-Neg]/O[V-Neg]S",19,"f009900"
"1001","144M-20","144M","SOV & NegV/VNeg (a)","SOV & NegV/VNeg",20,"c99ffff"
"1002","144M-21","144M","SOV & NegV/[Neg-V]","SOV & NegV/[Neg-V]",21,"t99ffff"
"1003","144M-22","144M","SOV & NegV/[V-Neg]","SOV & NegV/[V-Neg]",22,"f99ffff"
"1004","144M-23","144M","SOV & NegV/VNeg (b)","SOV & NegV/VNeg",23,"s99ffff"
"1005","144M-24","144M","SV & OV & NegV/VNeg","SV & OV & NegV/VNeg",24,"cff66ff"
"1006","144M-25","144M","SV & OV & NegV/[V-Neg]","SV & OV & NegV/[V-Neg]",25,"tff66ff"
"1007","144M-26","144M","SV & OV & [Neg-V]/[V-Neg]","SV & OV & [Neg-V]/[V-Neg]",26,"fff66ff"
"1008","144M-27","144M","SV & OV & VNeg/[V-Neg]","SV & OV & VNeg/[V-Neg]",27,"sff66ff"
"1009","144N-1","144N","SONegVNeg","SONegVNeg",1,"c99ffff"
"1010","144N-2","144N","SVO but NegSNegOV","NegSNegOV but SVO in affirmative clauses",2,"cff6600"
"1011","144N-3","144N","NegSO[V-Neg]","NegSO[V-Neg]",3,"cdd0000"
"1012","144N-4","144N","SONeg[V-Neg]","SONeg[V-Neg]",4,"c0000dd"
"1013","144N-5","144N","SO[Neg-V]Neg","SO[Neg-V]Neg",5,"c66ff33"
"1014","144N-6","144N","SO[Neg-V-Neg]","SO[Neg-V-Neg]",6,"c009900"
"1015","144N-7","144N","SO[Neg-V] with negative tone on verb  SO[Neg-V]&NegTone","SO[Neg-V] with negative tone on verb  SO[Neg-V]&NegTone",7,"c000000"
"1016","144N-8","144N","SONegVNeg/SONeg[V-Neg]","SONegVNeg/SONeg[V-Neg]",8,"c9999ff"
"1017","144N-9","144N","SVO but SONeg[V-Neg]/SO[Neg-V-Neg]","SONeg[V-Neg]/SO[Neg-V-Neg] but SVO in affirmative clauses",9,"cffffcc"
"1018","144N-10","144N","SNegO[V-Neg]/SONeg[V-Neg]","SNegO[V-Neg]/SONeg[V-Neg]",10,"cff66ff"
"1019","144N-11","144N","SO[V-Neg]Neg & OptNegPref/Infix","SO[V-Neg]Neg with optional negative prefix or infix",11,"caa0000"
"1020","144N-12","144N","SNegOVNeg/SNegVONeg","SNegOVNeg/SNegVONeg",12,"cffcc00"
"1021","144N-13","144N","SNegOVNeg/SVONeg&NegTone","SNegOVNeg or SVONeg with negative tone on verb",13,"ccccccc"
"1022","144N-14","144N","SOV & NegVNeg","SOV & NegVNeg",14,"t99ffff"
"1023","144N-15","144N","SOV & Neg[V-Neg]","SOV & Neg[V-Neg]",15,"t0000dd"
"1024","144N-16","144N","SOV & Neg[Neg-V]","SOV & Neg[Neg-V]",16,"tffff00"
"1025","144N-17","144N","SV & OV & Neg[V-Neg]","SV & OV & Neg[V-Neg]",17,"f0000dd"
"1026","144N-18","144N","SV & OV & [Neg-V-Neg]","SV & OV & [Neg-V-Neg]",18,"f009900"
"1027","144O-1","144O","NegSOV(Neg)","NegSOV(Neg)",1,"cdd0000"
"1028","144O-2","144O","S(Neg)OVNeg","S(Neg)OVNeg",2,"t990099"
"1029","144O-3","144O","SNegOV(Neg)","SNegOV(Neg)",3,"c990099"
"1030","144O-4","144O","SNegO[V(-Neg)]","SNegO[V(-Neg)]",4,"f990099"
"1031","144O-5","144O","SO[(Neg-)V]Neg","SO[(Neg-)V]Neg",5,"t99ffff"
"1032","144O-6","144O","SO[Neg-V(-Neg)]","SO[Neg-V(-Neg)]",6,"c0000dd"
"1033","144O-7","144O","SO[(Neg-)V-Neg]","SO[(Neg-)V-Neg]",7,"t0000dd"
"1034","144O-8","144O","SO[V-Neg](Neg)","SO[V-Neg](Neg)",8,"c66ff33"
"1035","144O-9","144O","SOVNeg/SO[Neg-V-Neg]","SOVNeg/SO[Neg-V-Neg]",9,"t009900"
"1036","144O-10","144O","SNegO[V(-Neg)](Neg)","SNegO[V(-Neg)](Neg)",10,"s990099"
"1037","144O-11","144O","SOV but S[Neg-V-Neg]O/SO[V-Neg]","S[Neg-V-Neg]O/SO[V-Neg] but SOV in affirmative clauses",11,"s009900"
"1038","144O-12","144O","SO[Neg-V-(Neg)]/SOVNeg","SO[Neg-V-(Neg)]/SOVNeg",12,"d0000dd"
"1039","144O-13","144O","(Neg)SOVNeg/S(Neg)OVNeg/SO(Neg)VNeg","(Neg)SOVNeg/S(Neg)OVNeg/SO(Neg)VNeg",13,"taa0000"
"1040","144O-14","144O","S(Neg)O[V(-Neg)]/SO(Neg)[V(-Neg)]","S(Neg)O[V(-Neg)]/SO(Neg)[V(-Neg)]",14,"ccccccc"
"1041","144O-15","144O","SOV & (Neg)[V-Neg]","SOV & (Neg)[V-Neg]",15,"sff66ff"
"1042","144O-16","144O","SOV & (Neg)[V(-Neg)]","SOV & (Neg)[V(-Neg)]",16,"fff66ff"
"1043","144O-17","144O","SOV/SVO & Neg[V-(Neg)]","SOV/SVO & Neg[V-(Neg)]",17,"dff66ff"
"1044","144O-18","144O","SV & OV & (Neg)V(Neg)","SV & OV & (Neg)V(Neg)",18,"f99ffff"
"1045","144O-19","144O","SV & OV &  (Neg)[V-Neg]","SV & OV &  (Neg)[V-Neg]",19,"tff66ff"
"1046","144O-20","144O","SV & OV &  [Neg-V(-Neg)]","SV & OV &  [Neg-V(-Neg)]",20,"s0000dd"
"1047","144O-21","144O","SV & OV &  [(Neg-)V-Neg]","SV & OV &  [(Neg-)V-Neg]",21,"f0000dd"
"1048","144P-1","144P","NoDoubleNeg","Separate word, no double negation",1,"cdd0000"
"1049","144P-2","144P","OptDoubleNeg","Separate word, optional double negation, with NegSOV possible without a second negative",2,"c0000dd"
"1050","144P-3","144P","OnlyWithAnotherNeg","Separate word, only occurs with another negative morpheme",3,"c66ff33"
"1051","144P-4","144P","No NegSOV","SOV but NegSOV does not occur",4,"cffffff"
"1052","144Q-1","144Q","NoDoubleNeg","Separate word, no double negation",1,"cdd0000"
"1053","144Q-2","144Q","OptDoubleNeg","Separate word, optional double negation, with SNegOV possible without a second negative",2,"c0000dd"
"1054","144Q-3","144Q","OnlyWithAnotherNeg","Separate word, only occurs with another negative morpheme",3,"c66ff33"
"1055","144Q-4","144Q","No SNegOV","SOV but SNegOV does not occur",4,"cffffff"
"1056","144R-1","144R","Word&NoDoubleNeg","Separate word, no double negation",1,"cdd0000"
"1057","144R-2","144R","Prefix&NoDoubleNeg","Prefix, no double negation",2,"cffff00"
"1058","144R-3","144R","Word&OptDoubleNeg","Separate word, optional double negation, with SONegV possible without a second negative",3,"c0000dd"
"1059","144R-4","144R","Prefix&OptDoubleNeg","Prefix, optional double negation, with SONegV possible without a second negative",4,"c99ffff"
"1060","144R-5","144R","Word&OnlyWithAnotherNeg","Separate word, only occurs with another negative morpheme",5,"c66ff33"
"1061","144R-6","144R","Prefix&OnlyWithAnotherNeg","Prefix, only occurs with another negative morpheme",6,"cff66ff"
"1062","144R-7","144R","Type 1 / Type 2","Type 1 / Type 2",7,"cff6600"
"1063","144R-8","144R","No SONegV","SOV, but SONegV does not occur",8,"cffffff"
"1064","144S-1","144S","Word&NoDoubleNeg","Separate word, no double negation",1,"cdd0000"
"1065","144S-2","144S","Suffix&NoDoubleNeg","Suffix, no double negation",2,"cffff00"
"1066","144S-3","144S","Word&OptDoubleNeg","Separate word, optional double negation, with SONegV possible without a second negative",3,"c0000dd"
"1067","144S-4","144S","Suffix&OptDoubleNeg","Suffix, optional double negation, with SONegV possible without a second negative",4,"c99ffff"
"1068","144S-5","144S","Word&OnlyWithAnotherNeg","Separate word, only occurs with another negative morpheme",5,"c66ff33"
"1069","144S-6","144S","Suffix&OnlyWithAnotherNeg","Suffix, only occurs with another negative morpheme",6,"cff66ff"
"1070","144S-7","144S","Type 1 / Type 2","Type 1 / Type 2",7,"cff6600"
"1071","144S-8","144S","Type 1 / Type 6","Type 1 / Type 6",8,"c990099"
"1072","144S-9","144S","Type 5 / Type 4","Type 5 / Type 4",9,"c9999ff"
"1073","144S-10","144S","Type 5 / Type 6","Type 5 / Type 6",10,"c009900"
"1074","144S-11","144S","NoSOVNeg","SOV, but SOVNeg does not occur",11,"cffffff"
"1075","144T-1","144T","NegVSO","NegVSO",1,"cdd0000"
"1076","144T-2","144T","VSNegO","VSNegO",2,"c0000dd"
"1077","144T-3","144T","VSONeg","VSONeg",3,"c66ff33"
"1078","144T-4","144T","NegVOS","NegVOS",4,"tdd0000"
"1079","144T-5","144T","NegVSO/NegVOS","NegVSO/NegVOS",5,"sdd0000"
"1080","144T-6","144T","NegV & VS & VO","NegV & VS & VO",6,"ddd0000"
"1081","144T-7","144T","SVO but NegVSO","NegVSO but SVO in affirmative clauses",7,"fdd0000"
"1082","144T-8","144T","[Neg-V]SO","VSO with negative prefix",8,"cff66ff"
"1083","144T-9","144T","[Neg-V]OS","VOS with negative prefix",9,"tff66ff"
"1084","144T-10","144T","[V-Neg]OS","VOS with negative suffix",10,"t99ffff"
"1085","144T-11","144T","[V-Neg] & VS &VO","[V-Neg] & VS &VO",11,"d99ffff"
"1086","144T-12","144T","NegVSO/[Neg-V]SO","NegVSO/[Neg-V]SO",12,"c990099"
"1087","144T-13","144T","NegVOS/[Neg-V]OS","NegVOS/[Neg-V]OS",13,"t990099"
"1088","144T-14","144T","NegVSO/SNegVO","NegVSO/SNegVO",14,"caa0000"
"1089","144T-15","144T","VSONeg/SVONeg","VSONeg/SVONeg",15,"c009900"
"1090","144T-16","144T","NegVOS/NegSVO","NegVOS/NegSVO",16,"taa0000"
"1091","144T-17","144T","NegVOS/SNegVO","NegVOS/SNegVO",17,"t9999ff"
"1092","144T-18","144T","[Neg-V]OS/S[Neg-V]O","[Neg-V]OS/S[Neg-V]O",18,"dff66ff"
"1093","144T-19","144T","NegV & VSO/SVO","NegV & VSO/SVO",19,"cffcc00"
"1094","144T-20","144T","NegV & VOS/SVO","NegV & VOS/SVO",20,"tffcc00"
"1095","144T-21","144T","OptSingleNeg","Verb-initial with optional single negation",21,"cffffcc"
"1096","144T-22","144T","ObligDoubleNeg","Verb-initial with obligatory double negation",22,"cff6600"
"1097","144T-23","144T","OptDoubleNeg","Verb-initial with optional double negation",23,"cffff00"
"1098","144U-1","144U","NegVNegSO","NegVNegSO",1,"c990099"
"1099","144U-2","144U","NegVNegOS","NegVNegOS",2,"t990099"
"1100","144U-3","144U","NegVSONeg","NegVSONeg",3,"c66ff33"
"1101","144U-4","144U","NegNegVSO","NegNegVSO",4,"cdd0000"
"1102","144U-5","144U","VNegSONeg","VNegSONeg",5,"c0000dd"
"1103","144U-6","144U","VS & VO & [Neg-V-Neg]","VS & VO & [Neg-V-Neg]",6,"dffff00"
"1104","144U-7","144U","NegVOSNeg/VNegOSNeg/SNegVONeg/SVNegONeg","NegVOSNeg/VNegOSNeg/SNegVONeg/SVNegONeg",7,"taa0000"
"1105","144U-8","144U","V(Neg)SONeg","V(Neg)SONeg",8,"c009900"
"1106","144U-9","144U","Neg(Neg)VSO","Neg(Neg)VSO",9,"cff66ff"
"1107","144U-10","144U","NegVSO/[Neg-V-Neg]SO","NegVSO/[Neg-V-Neg]SO",10,"cff6600"
"1108","144U-11","144U","NegVSO&OptStemChange","NegVSO with optional stem change",11,"c000000"
"1109","144U-12","144U","SVO/VSO but [Neg-V]SO(Neg)","[Neg-V]SO(Neg) but SVO/VSO in affirmative clauses",12,"cffffcc"
"1110","144U-13","144U","VS&VO&Neg[(Neg-)V]","VS & VO & Neg[(Neg-)V]",13,"dff66ff"
"1111","144U-14","144U","VS&VO&NegV/[(Neg-)V-Neg]","VS & VO & NegV/[(Neg-)V-Neg]",14,"d99ffff"
"1112","144U-15","144U","VOS & NegVNeg","VOS & NegVNeg",15,"tcccccc"
"1113","144U-16","144U","VSO/SVO & (Neg)V(Neg)","VSO/SVO & (Neg)V(Neg)",16,"s990099"
"1114","144V-1","144V","Separate word, no double negation  Word&NoDoubleNeg","Separate word, no double negation  Word&NoDoubleNeg",1,"cdd0000"
"1115","144V-2","144V","Prefix, no double negation  Prefix&NoDoubleNeg","Prefix, no double negation  Prefix&NoDoubleNeg",2,"cffff00"
"1116","144V-3","144V","Word&Opt","Separate word, optional single or double negation, with preverbal negative word possible without a second negative",3,"c0000dd"
"1117","144V-4","144V","Prefix&OptDoubleNeg","Prefix, optional double negation, with negative prefix possible without a second negative",4,"c99ffff"
"1118","144V-5","144V","Word&OnlyWithAnotherNeg","Separate word, only occurs with another negative morpheme",5,"c66ff33"
"1119","144V-6","144V","Prefix&OnlyWithAnotherNeg","Prefix, only occurs with another negative morpheme",6,"cff66ff"
"1120","144V-7","144V","Type 1 / Type 2","Type 1 / Type 2",7,"cff6600"
"1121","144V-8","144V","Type 3 / Type 6","Type 3 / Type 6",8,"c990099"
"1122","144V-9","144V","No preverbal neg","Verb-initial but preverbal negative does not occur",9,"cffffff"
"1123","144W-1","144W","Suffix&NoDoubleNeg","Suffix, no double negation",1,"cffff00"
"1124","144W-2","144W","Word&OnlyWithAnotherNeg","Separate word, immediately following verb, only occurs with another negative morpheme",2,"c66ff33"
"1125","144W-3","144W","Suffix&OptDoubleNeg","Suffix, optional double negation, can occur without a second negative",3,"c99ffff"
"1126","144W-4","144W","Suffix&OnlyWithAnotherNeg","Suffix, only occurs with another negative morpheme",4,"cff66ff"
"1127","144W-5","144W","WordBetweenSAndO","Separate word, between subject and object",5,"c009900"
"1128","144W-6","144W","None","Verb-initial but immediately postverbal negative or negative between subject and object does not occur",6,"cffffff"
"1129","144X-1","144X","NoDoubleNeg","Separate word, no double negation",1,"cdd0000"
"1130","144X-2","144X","OptDoubleNeg","Separate word, optional double negation, with clause-final negative word possible without a second negative",2,"c0000dd"
"1131","144X-3","144X","OnlyWithAnotherNeg","Separate word, only occurs with another negative morpheme",3,"c66ff33"
"1132","144X-4","144X","No clause-final neg","Verb-initial but clause-final negative does not occur",4,"cffffff"
"1133","144Y-1","144Y","ONegVS","ONegVS",1,"c990099"
"1134","144Y-2","144Y","OVNegS","OVNegS",2,"c0000dd"
"1135","144Y-3","144Y","OSVNeg","OSVNeg",3,"d66ff33"
"1136","144Y-4","144Y","O[V-Neg]S","O[V-Neg]S",4,"t0000dd"
"1137","144Y-5","144Y","OS(Neg)[V(-Neg)]","OS(Neg)[V(-Neg)]",5,"d99ffff"
"1138","144Y-6","144Y","O[Neg-V-Neg]S","O[Neg-V-Neg]S",6,"cff66ff"
"1139","144Y-7","144Y","OVNegS/SOVNeg","OVNegS/SOVNeg",7,"f0000dd"
"1140","144Y-8","144Y","NegOVS/NegSOV","NegOVS/NegSOV",8,"fdd0000"
"1141","144Y-9","144Y","O[V-Neg]S/SO[V-Neg]","O[V-Neg]S/SO[V-Neg]",9,"s0000dd"
"1142","144Y-10","144Y","O[Neg-V]S/NegSVO","O[Neg-V]S/NegSVO",10,"f990099"
"1143","144Y-11","144Y","OVS & NegV","OVS & NegV",11,"ccccccc"
